,zipcode,city,states,revenue_per_zipcode,national_num_esta
13078,46538,LEESBURG,IN,6294,55
13079,46539,MENTONE,IN,7631,65
13080,46540,MIDDLEBURY,IN,16695,315
13081,46542,MILFORD,IN,8065,130
13082,46543,MILLERSBURG,IN,6248,40
13083,46544,MISHAWAKA,IN,17901,1250
13084,46545,MISHAWAKA,IN,17799,1615
13085,46550,NAPPANEE,IN,9840,310
13086,46552,NEW CARLISLE,IN,17592,220
13087,46553,NEW PARIS,IN,6337,55
13088,46554,NORTH LIBERTY,IN,9623,65
13089,46555,NORTH WEBSTER,IN,9676,215
13090,46556,NOTRE DAME,IN,1900,75
13091,46561,OSCEOLA,IN,6945,95
13092,46562,PIERCETON,IN,10823,65
13093,46563,PLYMOUTH,IN,16583,715
13094,46565,SHIPSHEWANA,IN,17386,300
13095,46567,SYRACUSE,IN,10233,355
13096,46571,TOPEKA,IN,2476,75
13097,46573,WAKARUSA,IN,1927,75
13098,46574,WALKERTON,IN,4021,150
13099,46580,WARSAW,IN,22960,975
13100,46581,WARSAW,IN,4995,10
13101,46582,WARSAW,IN,13524,285
13102,46590,WINONA LAKE,IN,7749,115
13103,46601,SOUTH BEND,IN,19428,445
13104,46613,SOUTH BEND,IN,11822,230
13105,46614,SOUTH BEND,IN,15238,695
13106,46615,SOUTH BEND,IN,14215,295
13107,46616,SOUTH BEND,IN,8154,85
13108,46617,SOUTH BEND,IN,3801,315
13109,46619,SOUTH BEND,IN,13916,390
13110,46628,SOUTH BEND,IN,7463,570
13111,46634,SOUTH BEND,IN,640,15
13112,46635,SOUTH BEND,IN,8871,200
13113,46637,SOUTH BEND,IN,16586,745
13114,46701,ALBION,IN,3966,180
13115,46702,ANDREWS,IN,1008,45
13116,46703,ANGOLA,IN,21769,875
13117,46704,ARCOLA,IN,5665,25
13118,46705,ASHLEY,IN,5998,40
13119,46706,AUBURN,IN,21098,760
13120,46710,AVILLA,IN,6418,55
13121,46711,BERNE,IN,12066,160
13122,46714,BLUFFTON,IN,19364,470
13123,46721,BUTLER,IN,6872,55
13124,46723,CHURUBUSCO,IN,12067,160
13125,46725,COLUMBIA CITY,IN,22036,650
13126,46732,CROMWELL,IN,5630,25
13127,46733,DECATUR,IN,16477,510
13128,46737,FREMONT,IN,13493,275
13129,46738,GARRETT,IN,7362,130
13130,46740,GENEVA,IN,7199,50
13131,46741,GRABILL,IN,1288,30
13132,46742,HAMILTON,IN,8379,120
13133,46743,HARLAN,IN,5795,50
13134,46745,HOAGLAND,IN,5623,25
13135,46746,HOWE,IN,10232,220
13136,46747,HUDSON,IN,1294,45
13137,46748,HUNTERTOWN,IN,2492,60
13138,46750,HUNTINGTON,IN,21060,850
13139,46755,KENDALLVILLE,IN,14016,435
13140,46760,KIMMELL,IN,6046,40
13141,46761,LAGRANGE,IN,10784,180
13142,46764,LARWILL,IN,4995,10
13143,46765,LEO,IN,2038,75
13144,46767,LIGONIER,IN,3870,195
13145,46770,MARKLE,IN,7457,115
13146,46771,MONGO,IN,4995,10
13147,46772,MONROE,IN,5631,25
13148,46773,MONROEVILLE,IN,8192,105
13149,46774,NEW HAVEN,IN,13757,425
13150,46776,ORLAND,IN,6289,55
13151,46777,OSSIAN,IN,6639,70
13152,46783,ROANOKE,IN,7351,85
13153,46784,ROME CITY,IN,6630,35
13154,46785,SAINT JOE,IN,670,15
13155,46786,SOUTH MILFORD,IN,4995,10
13156,46787,SOUTH WHITLEY,IN,7417,115
13157,46788,SPENCERVILLE,IN,5630,35
13158,46789,STROH,IN,630,15
13159,46792,WARREN,IN,7575,85
13160,46793,WATERLOO,IN,10247,60
13161,46794,WAWAKA,IN,4995,10
13162,46795,WOLCOTTVILLE,IN,12413,120
13163,46796,WOLFLAKE,IN,4995,10
13164,46797,WOODBURN,IN,9370,90
13165,46798,YODER,IN,630,15
13166,46799,ZANESVILLE,IN,630,15
13167,46801,FORT WAYNE,IN,1304,30
13168,46802,FORT WAYNE,IN,21088,860
13169,46803,FORT WAYNE,IN,18729,295
13170,46804,FORT WAYNE,IN,13373,1495
13171,46805,FORT WAYNE,IN,21209,1435
13172,46806,FORT WAYNE,IN,12749,240
13173,46807,FORT WAYNE,IN,8001,130
13174,46808,FORT WAYNE,IN,19256,740
13175,46809,FORT WAYNE,IN,11974,415
13176,46814,FORT WAYNE,IN,8689,110
13177,46815,FORT WAYNE,IN,13054,545
13178,46816,FORT WAYNE,IN,3246,165
13179,46818,FORT WAYNE,IN,12907,685
13180,46819,FORT WAYNE,IN,2302,60
13181,46825,FORT WAYNE,IN,19566,1380
13182,46835,FORT WAYNE,IN,15187,510
13183,46845,FORT WAYNE,IN,9628,140
13184,46852,FORT WAYNE,IN,640,15
13185,46901,KOKOMO,IN,20067,1135
13186,46902,KOKOMO,IN,23935,1350
13187,46904,KOKOMO,IN,1735,45
13188,46910,AKRON,IN,6246,55
13189,46911,AMBOY,IN,1213,30
13190,46914,BUNKER HILL,IN,1708,45
13191,46915,BURLINGTON,IN,1258,60
13192,46917,CAMDEN,IN,585,15
13193,46919,CONVERSE,IN,6877,85
13194,46923,DELPHI,IN,12480,215
13195,46926,DENVER,IN,630,15
13196,46928,FAIRMOUNT,IN,10822,65
13197,46929,FLORA,IN,2876,90
13198,46931,FULTON,IN,1264,30
13199,46932,GALVESTON,IN,6571,70
13200,46933,GAS CITY,IN,14204,320
13201,46936,GREENTOWN,IN,10549,95
13202,46938,JONESBORO,IN,1024,30
13203,46939,KEWANNA,IN,1213,30
13204,46940,LA FONTAINE,IN,5620,25
13205,46941,LAGRO,IN,640,15
13206,46945,LEITERS FORD,IN,630,15
13207,46947,LOGANSPORT,IN,21256,895
13208,46951,MACY,IN,1828,45
13209,46952,MARION,IN,13980,745
13210,46953,MARION,IN,11432,580
13211,46960,MONTEREY,IN,640,15
13212,46962,NORTH MANCHESTER,IN,12430,275
13213,46970,PERU,IN,12389,615
13214,46974,ROANN,IN,5621,35
13215,46975,ROCHESTER,IN,10364,445
13216,46978,ROYAL CENTER,IN,5576,25
13217,46979,RUSSIAVILLE,IN,5576,25
13218,46982,SILVER LAKE,IN,6246,40
13219,46985,STAR CITY,IN,640,15
13220,46986,SWAYZEE,IN,5623,25
13221,46987,SWEETSER,IN,6248,40
13222,46988,TWELVE MILE,IN,630,15
13223,46989,UPLAND,IN,11262,80
13224,46990,URBANA,IN,4995,10
13225,46991,VAN BUREN,IN,630,15
13226,46992,WABASH,IN,18831,585
13227,46994,WALTON,IN,6973,70
13228,46996,WINAMAC,IN,4596,195
13229,47001,AURORA,IN,10485,225
13230,47003,WEST COLLEGE CORNER,IN,1008,30
13231,47006,BATESVILLE,IN,12263,430
13232,47012,BROOKVILLE,IN,8454,200
13233,47018,DILLSBORO,IN,1210,30
13234,47019,EAST ENTERPRISE,IN,1326,45
13235,47020,FLORENCE,IN,2470,60
13236,47021,FRIENDSHIP,IN,630,15
13237,47022,GUILFORD,IN,1008,30
13238,47024,LAUREL,IN,13114,75
13239,47025,LAWRENCEBURG,IN,17004,660
13240,47030,METAMORA,IN,640,15
13241,47031,MILAN,IN,7033,85
13242,47032,MOORES HILL,IN,630,15
13243,47034,NAPOLEON,IN,5630,25
13244,47036,OLDENBURG,IN,1304,45
13245,47037,OSGOOD,IN,6664,45
13246,47040,RISING SUN,IN,15101,115
13247,47041,SUNMAN,IN,5758,40
13248,47042,VERSAILLES,IN,8495,115
13249,47043,VEVAY,IN,3825,165
13250,47060,WEST HARRISON,IN,6015,40
13251,47102,AUSTIN,IN,1913,45
13252,47106,BORDEN,IN,1704,45
13253,47108,CAMPBELLSBURG,IN,6248,40
13254,47111,CHARLESTOWN,IN,8775,155
13255,47112,CORYDON,IN,25552,630
13256,47115,DEPAUW,IN,670,15
13257,47116,ECKERTY,IN,7296,50
13258,47117,ELIZABETH,IN,2058,60
13259,47118,ENGLISH,IN,8628,35
13260,47119,FLOYDS KNOBS,IN,8332,250
13261,47122,GEORGETOWN,IN,10158,130
13262,47123,GRANTSBURG,IN,675,15
13263,47126,HENRYVILLE,IN,6622,35
13264,47129,CLARKSVILLE,IN,18493,1090
13265,47130,JEFFERSONVILLE,IN,18380,1380
13266,47131,JEFFERSONVILLE,IN,675,15
13267,47135,LACONIA,IN,585,15
13268,47136,LANESVILLE,IN,5633,25
13269,47137,LEAVENWORTH,IN,7169,70
13270,47138,LEXINGTON,IN,1255,30
13271,47140,MARENGO,IN,6190,70
13272,47142,MAUCKPORT,IN,5578,25
13273,47143,MEMPHIS,IN,675,15
13274,47145,MILLTOWN,IN,5633,25
13275,47150,NEW ALBANY,IN,14982,1450
13276,47160,NEW MIDDLETOWN,IN,756,30
13277,47161,NEW SALISBURY,IN,1210,30
13278,47162,NEW WASHINGTON,IN,4995,10
13279,47164,PALMYRA,IN,1304,30
13280,47165,PEKIN,IN,5994,30
13281,47167,SALEM,IN,9583,370
13282,47170,SCOTTSBURG,IN,20049,500
13283,47172,SELLERSBURG,IN,10847,400
13284,47175,TASWELL,IN,4995,10
13285,47177,UNDERWOOD,IN,675,15
13286,47201,COLUMBUS,IN,21165,2195
13287,47202,COLUMBUS,IN,2005,60
13288,47203,COLUMBUS,IN,17599,270
13289,47220,BROWNSTOWN,IN,7488,85
13290,47223,BUTLERVILLE,IN,7992,20
13291,47227,COMMISKEY,IN,585,15
13292,47229,CROTHERSVILLE,IN,6374,65
13293,47234,FLAT ROCK,IN,585,15
13294,47240,GREENSBURG,IN,11948,625
13295,47243,HANOVER,IN,10242,220
13296,47245,HAYDEN,IN,1213,30
13297,47246,HOPE,IN,6245,55
13298,47247,JONESVILLE,IN,640,15
13299,47250,MADISON,IN,16408,965
13300,47260,MEDORA,IN,5663,35
13301,47261,MILLHOUSEN,IN,640,15
